customer_id,first_name,last_name,customer_name,gender
c1,Abigail,Goris,Abigail Goris,male
c2,Ada,Glaude,Ada Glaude,male
c3,Ada,Staback,Ada Staback,female
c4,Adam,Boner,Adam Boner,female
c5,Adam,Dunnegan,Adam Dunnegan,male
c6,Adelaide,Drago,Adelaide Drago,male
c7,Adell,Maroni,Adell Maroni,female
c8,Adolph,Prey,Adolph Prey,female
c9,Adria,Osterstuck,Adria Osterstuck,female
c10,Adriane,Dottin,Adriane Dottin,female
c11,Akilah,Caravalho,Akilah Caravalho,male
c12,Al,Johson,Al Johson,male
c13,Alanna,Rufino,Alanna Rufino,female
c14,Alayna,Sigel,Alayna Sigel,female
c15,Alba,Beuter,Alba Beuter,female
c16,Albert,Dishmon,Albert Dishmon,male
c17,Albert,Sha,Albert Sha,male
c18,Albertha,Barberi,Albertha Barberi,female
c19,Albertha,Yamaki,Albertha Yamaki,female
c20,Aldo,Bandemer,Aldo Bandemer,male
c21,Alec,Arvidson,Alec Arvidson,female
c22,Alec,Plaisted,Alec Plaisted,male
c23,Alena,Ruesswick,Alena Ruesswick,male
c24,Alesha,Brauner,Alesha Brauner,male
c25,Alesha,Kochheiser,Alesha Kochheiser,female
c26,Aleshia,Wies,Aleshia Wies,female
c27,Aletha,Media,Aletha Media,female
c28,Alfonso,Kielbasa,Alfonso Kielbasa,female
c29,Alfonzo,Orrico,Alfonzo Orrico,male
c30,Alfredia,Levandofsky,Alfredia Levandofsky,male
c31,Alfredia,Lulewicz,Alfredia Lulewicz,female
c32,Aline,Lawhorne,Aline Lawhorne,female
c33,Aline,Okerblom,Aline Okerblom,female
c34,Alishia,Wardrop,Alishia Wardrop,male
c35,Alita,Rittenhouse,Alita Rittenhouse,male
c36,Allan,Drafts,Allan Drafts,female
c37,Allan,Khaleck,Allan Khaleck,male
c38,Alline,Gloeckner,Alline Gloeckner,female
c39,Alline,Munzell,Alline Munzell,male
c40,Almeda,Browm,Almeda Browm,female
c41,Alonzo,Ashmead,Alonzo Ashmead,male
c42,Alphonso,Christoff,Alphonso Christoff,male
c43,Alton,Gotwalt,Alton Gotwalt,female
c44,Alvin,Erbe,Alvin Erbe,male
c45,Ambrose,Disano,Ambrose Disano,female
c46,Amelia,Erb,Amelia Erb,male
c47,America,Tedesko,America Tedesko,male
